Unicode,,DevName,PostName,Set,UnicodeName,OTL,Comment
0x03A7,Χ,Chi.Latin,Chi.Latin,PNWIL,GREEK CAPITAL LETTER CHI,,Latin form of Greek character
0x0241,Ɂ,Glottalstop,uni0241,PNWIL,LATIN CAPITAL LETTER GLOTTAL STOP,,
0x0132,Ĳ,IJ,IJ,Euro,LATIN CAPITAL LIGATURE IJ,locl(NLD),
,,IJacute,uni01320301,Euro,,ccmp,
0x0061,a,a,a,PNWIL+Euro,LATIN SMALL LETTER A,,
0x0062,b,b,b,PNWIL+Euro,LATIN SMALL LETTER B,,
0x0063,c,c,c,PNWIL+Euro,LATIN SMALL LETTER C,,
0x0064,d,d,d,PNWIL+Euro,LATIN SMALL LETTER D,,
0x0065,e,e,e,PNWIL+Euro,LATIN SMALL LETTER E,,
0x0066,f,f,f,PNWIL+Euro,LATIN SMALL LETTER F,,
0x0067,g,g,g,PNWIL+Euro,LATIN SMALL LETTER G,,
,,g.2,g.2,PNWIL+Euro,,ss01,Roman (upright) only
0x0068,h,h,h,PNWIL+Euro,LATIN SMALL LETTER H,,
0x0069,i,i,i,PNWIL+Euro,LATIN SMALL LETTER I,ccmp,Dotless pre above mark
,,i.dotless,i.dotless,PNWIL+Euro,,,
0x006A,j,j,j,PNWIL+Euro,LATIN SMALL LETTER J,,
,,j.dotless,j.dotless,PNWIL+Euro,,ccmp,Dotless pre above mark
0x006B,k,k,k,PNWIL+Euro,LATIN SMALL LETTER K,,
0x006C,l,l,l,PNWIL+Euro,LATIN SMALL LETTER L,,
0x006D,m,m,m,PNWIL+Euro,LATIN SMALL LETTER M,,
0x006E,n,n,n,PNWIL+Euro,LATIN SMALL LETTER N,,
0x006F,o,o,o,PNWIL+Euro,LATIN SMALL LETTER O,,
0x0070,p,p,p,PNWIL+Euro,LATIN SMALL LETTER P,,
0x0071,q,q,q,PNWIL+Euro,LATIN SMALL LETTER Q,,
0x0072,r,r,r,PNWIL+Euro,LATIN SMALL LETTER R,,
0x0073,s,s,s,PNWIL+Euro,LATIN SMALL LETTER S,,
0x0074,t,t,t,PNWIL+Euro,LATIN SMALL LETTER T,,
0x0075,u,u,u,PNWIL+Euro,LATIN SMALL LETTER U,,
0x0076,v,v,v,PNWIL+Euro,LATIN SMALL LETTER V,,
0x0077,w,w,w,PNWIL+Euro,LATIN SMALL LETTER W,,
0x0078,x,x,x,PNWIL+Euro,LATIN SMALL LETTER X,,
0x0079,y,y,y,PNWIL+Euro,LATIN SMALL LETTER Y,,
0x007A,z,z,z,PNWIL+Euro,LATIN SMALL LETTER Z,,
0x00E0,à,agrave,agrave,PNWIL+Euro,LATIN SMALL LETTER A WITH GRAVE,,
0x00E1,á,aacute,aacute,PNWIL+Euro,LATIN SMALL LETTER A WITH ACUTE,,
0x00E2,â,acircumflex,acircumflex,PNWIL+Euro,LATIN SMALL LETTER A WITH CIRCUMFLEX,,
0x01CE,ǎ,acaron,uni01CE,PNWIL,LATIN SMALL LETTER A WITH CARON,,
0x00E3,ã,atilde,atilde,Euro,LATIN SMALL LETTER A WITH TILDE,,
0x00E4,ä,adieresis,adieresis,PNWIL+Euro,LATIN SMALL LETTER A WITH DIAERESIS,,
0x0101,ā,amacron,amacron,PNWIL+Euro,LATIN SMALL LETTER A WITH MACRON,,
0x0103,ă,abreve,abreve,Euro,LATIN SMALL LETTER A WITH BREVE,,
0x00E5,å,aring,aring,Euro,LATIN SMALL LETTER A WITH RING ABOVE,,
0x01FB,ǻ,aringacute,aringacute,Euro,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE,,
0x0227,ȧ,adotacent,uni0227,NA+,LATIN SMALL LETTER A WITH DOT ABOVE,,TQ-INAT p.103 Tsėhesenėstsestotse (Cheyenne)
0x0105,ą,aogonek,aogonek,PNWIL,LATIN SMALL LETTER A WITH OGONEK,,Default = ogonek centered below
,,aogonek.euro,aogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
,,aogonek.alt,aogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
,,aogonek.alt2,aogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
0x2C65,ⱥ,aslash,uni2C65,PNWIL,LATIN SMALL LETTER A WITH STROKE,,
,,aslash.2,uni2C65.2,PNWIL,,,Feature variation form for heavier weights.
0x00E6,æ,ae,ae,PNWIL+Euro,LATIN SMALL LETTER AE,,
0x01FD,ǽ,aeacute,aeacute,Euro,LATIN SMALL LETTER AE WITH ACUTE,,
0x0107,ć,cacute,cacute,Euro,LATIN SMALL LETTER C WITH ACUTE,,
0x0109,ĉ,ccircumflex,ccircumflex,Euro,LATIN SMALL LETTER C WITH CIRCUMFLEX,,
0x010D,č,ccaron,ccaron,PNWIL+Euro,LATIN SMALL LETTER C WITH CARON,,
0x010B,ċ,cdotaccent,cdotaccent,Euro,LATIN SMALL LETTER C WITH DOT ABOVE,,
0x00E7,ç,ccedilla,ccedilla,Euro,LATIN SMALL LETTER C WITH CEDILLA,,
0x023C,ȼ,cslash,uni023C,PNWIL,LATIN SMALL LETTER C WITH STROKE,,
0x010E,Ď,dcaron,dcaron,Euro,LATIN SMALL LETTER D WITH CARON,,
0x1E0F,ḏ,dmacronbelow,uni1E0F,PNWIL,LATIN SMALL LETTER D WITH LINE BELOW,,
,,dlinebelow,uni00640332,PNWIL,,ccmp,Contextual width component
0x0111,đ,dcroat,dcroat,Euro,LATIN SMALL LETTER D WITH STROKE,,
0x00E8,è,egrave,egrave,PNWIL+Euro,LATIN SMALL LETTER E WITH GRAVE,,
0x00E9,é,eacute,eacute,PNWIL+Euro,LATIN SMALL LETTER E WITH ACUTE,,
0x00EA,ê,ecircumflex,ecircumflex,PNWIL+Euro,LATIN SMALL LETTER E WITH CIRCUMFLEX,,
0x011B,ě,ecaron,ecaron,PNWIL+Euro,LATIN SMALL LETTER E WITH CARON,,
0x00EB,ë,edieresis,edieresis,PNWIL+Euro,LATIN SMALL LETTER E WITH DIAERESIS,,
0x0113,ē,emacron,emacron,PNWIL+Euro,LATIN SMALL LETTER E WITH MACRON,,
0x1E17,ḗ,emacronacute,uni1E17,PNWIL,LATIN SMALL LETTER E WITH MACRON AND ACUTE,,
0x0115,ĕ,ebreve,ebreve,Euro,LATIN SMALL LETTER E WITH BREVE,,
0x0117,ė,edotaccent,edotaccent,Euro,LATIN SMALL LETTER E WITH DOT ABOVE,,
0x0119,ę,eogonek,eogonek,PNWIL,LATIN SMALL LETTER E WITH OGONEK,,Default = ogonek centered below
,,eogonek.euro,eogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
,,eogonek.alt,eogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
,,eogonek.alt2,eogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
0x0192,ƒ,fhook,uni0192,Common,LATIN SMALL LETTER F WITH HOOK,,Florin compatibility codepoint
0x011D,ĝ,gcircumflex,gcircumflex,PNWIL+Euro,LATIN SMALL LETTER G WITH CIRCUMFLEX,,
,,gcircumflex.2,gcircumflex.2,PNWIL+Euro,,ss01,Roman (upright) only
0x01E7,ǧ,gcaron,uni01E7,PNWIL,LATIN SMALL LETTER G WITH CARON,,
,,gcaron.2,uni01E7.2,PNWIL,,ss01,Roman (upright) only
0x1E21,ḡ,gmacron,uni1E21,PNWIL,LATIN SMALL LETTER G WITH MACRON,,
,,gmacron.2,uni1E21.2,PNWIL,,ss01,Roman (upright) only
0x011F,ğ,gbreve,gbreve,Euro,LATIN SMALL LETTER G WITH BREVE,,
,,gbreve.2,gbreve.2,Euro,,ss01,Roman (upright) only
0x0121,ġ,gdotaccent,gdotaccent,Euro,LATIN SMALL LETTER G WITH DOT ABOVE,,
,,gdotaccent.2,gdotaccent.2,Euro,,ss01,Roman (upright) only
0x0123,ģ,gcommaaccent,uni0123,Euro,LATIN SMALL LETTER G WITH CEDILLA,,
,,gcommaaccent.2,uni0123.2,Euro,,ss01,Roman (upright) only
0x01E5,ǥ,gbar,uni01E5,PNWIL,LATIN SMALL LETTER G WITH STROKE,,Bar through lower counter
,,gbar.2,uni01E5.2,PNWIL,,ss01,Roman (upright) only
0x0261,ɡ,gscript,uni0261,PNWIL,LATIN SMALL LETTER SCRIPT G,,Coeur d’Alene only? Need to contrast with default form in italic?
0x0125,ĥ,hcircumflex,hcircumflex,Euro,LATIN SMALL LETTER H WITH CIRCUMFLEX,,
0x021F,ȟ,hcaron,uni021F,NA+,LATIN SMALL LETTER H WITH CARON,,TQ-INAT p.148 Lakȟótiyapi (Lakota)
0x1E96,ẖ,hmacronbelow,uni1E96,NA+,LATIN SMALL LETTER H WITH LINE BELOW,,TQ-INAT p.112 Menhti Kenaga (no precomposed cap)
,,hlinebelow,uni00680332,NA+,,ccmp,Contextual width component
0x1E25,ḥ,hdotbelow,uni1E25,PNWIL,LATIN SMALL LETTER H WITH DOT BELOW,,
0x0127,ħ,hbar,hbar,PNWIL+Euro,LATIN SMALL LETTER H WITH STROKE,,
0x0131,ı,dotlessi,uni0131,PNWIL+Euro,LATIN SMALL LETTER I WITH DOT ABOVE,,
,,dotlessiogonek,uni01310328,NA+,,ccmp,TQ-INAT p.110 Tłįchǫ Yatiì (Dogrib)
,,dotlessiogonek.alt,uni01310328.alt,NA+,,locl,
,,dotlessiogonek.alt2,uni01310328.alt2,NA+,,locl,
0x00EC,ì,igrave,igrave,PNWIL+Euro,LATIN SMALL LETTER I WITH GRAVE,,
0x00ED,í,iacute,iacute,PNWIL+Euro,LATIN SMALL LETTER I WITH ACUTE,,
0x00EE,î,icircumflex,icircumflex,PNWIL+Euro,LATIN SMALL LETTER I WITH CIRCUMFLEX,,
0x01D0,ǐ,icaron,uni01D0,PNWIL,LATIN SMALL LETTER I WITH CARON,,
0x0129,ĩ,itilde,itilde,Euro,LATIN SMALL LETTER I WITH TILDE,,
0x00EF,ï,idieresis,idieresis,PNWIL+Euro,LATIN SMALL LETTER I WITH DIAERESIS,,
0x012B,ī,imacron,imacron,PNWIL+Euro,LATIN SMALL LETTER I WITH MACRON,,
0x012D,ĭ,ibreve,ibreve,Euro,LATIN SMALL LETTER I WITH BREVE,,
0x012F,į,iogonek,iogonek,PNWIL+Euro,LATIN SMALL LETTER I WITH OGONEK,,
,,iogonek.dotless,iogonek.dotless,PNWIL+Euro,,ccmp,Dotless pre above mark
,,iogonek.alt,iogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
,,iogonek.dotless.alt,iogonek.dotless.alt,NA+,,ccmp,Dotless pre above mark
,,iogonek.alt2,iogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
,,iogonek.dotless.alt2,iogonek.dotless.alt2,NA+,,ccmp,Dotless pre above mark
0x1ECB,ị,idotbelow,uni1ECB,PNWIL,LATIN SMALL LETTER I WITH DOT BELOW,,
,,idotbelow.dotless,uni1ECB.dotless,PNWIL,,ccmp,Dotless pre above mark
0x0268,ɨ,ibar,uni0268,PNWIL,LATIN SMALL LETTER I WITH STROKE,,
,,ibar.dotless,uni0268.dotless,PNWIL,,ccmp,Dotless pre above mark
0x0237,ȷ,dotlessj,uni0237,PNWIL+Euro,LATIN SMALL LETTER DOTLESS J,,
0x0135,ĵ,jcircumflex,jcircumflex,Euro,LATIN SMALL LETTER J WITH CIRCUMFLEX,,
0x01F0,ǰ,jcaron,uni01F0,PNWIL,LATIN SMALL LETTER J WITH CARON,,
0x0249,ɉ,jbar,uni0249,NA+,LATIN SMALL LETTER J WITH STROKE,,TQ-INAT p.104 Inuinnaqtun
,,jbar.dotless,uni0249.dotless,NA+,,ccmp,Dotless pre above mark
0x1E31,ḱ,kacute,uni1E31,PNWIL,LATIN SMALL LETTER K WITH ACUTE,,Case mapping support
0x0137,ķ,kcommaaccent,uni0137,Euro,LATIN SMALL LETTER K WITH CEDILLA,,
0x1E35,ḵ,kmacronbelow,uni1E35,PNWIL,LATIN SMALL LETTER K WITH LINE BELOW,,
,,klinebelow,uni006B0332,PNWIL,,ccmp,Contextual width component
0x1E33,ḳ,kdotbelow,uni1E33,PNWIL,LATIN SMALL LETTER K WITH DOT BELOW,,
0x0138,ĸ,kgreenlandic,kgreenlandic,Euro,LATIN SMALL LETTER KRA,,
0x013A,ĺ,lacute,lacute,Euro,LATIN SMALL LETTER L WITH ACUTE,,
0x013E,ľ,lcaron,lcaron,Euro,LATIN SMALL LETTER L WITH CARON,,
0x013C,ļ,lcommaaccent,uni013C,Euro,LATIN SMALL LETTER L WITH CEDILLA,,
0x1E3B,ḻ,lmacronbelow,uni1E3B,NA+,LATIN SMALL LETTER L WITH LINE BELOW,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
,,llinebelow,uni006C0332,NA+,,ccmp,Contextual width component
0x1E37,ḷ,ldotbelow,uni1E37,PNWIL,LATIN SMALL LETTER L WITH DOT BELOW,,
0x0142,ł,lslash,lslash,PNWIL+Euro,LATIN SMALL LETTER L WITH STROKE,,
0x019A,ƚ,lbar,uni019A,PNWIL,LATIN CAPITAL LETTER L WITH BAR,,
0x2C61,ⱡ,ldblbar,uni2C61,NA+,LATIN CAPITAL LETTER L WITH DOUBLE BAR,,TQ-INAT p.126 Ktunaxa (Kutenai)
0x026B,ɫ,lwavybar,uni026B,PNWIL,LATIN SMALL LETTER L WITH MIDDLE TILDE,,
0x026C,ɬ,lbelt,uni026C,PNWIL,LATIN SMALL LETTER L WITH BELT,,
,,lbelt.alt,uni026C.alt,PNWIL,,locl(LUT) / ss06,Lushotseed form with looped l and bar (TQ-INAT p.138)
0x0140,ŀ,ldot,ldot,Euro,LATIN SMALL LETTER L WITH MIDDLE DOT,,
0x1E3F,ḿ,macute,uni1E3F,NA+,LATIN SMALL LETTER M WITH ACUTE,,TQ-INAT p.106 Yupik
0x1E43,ṃ,mdotbelow,uni1E43,PNWIL,LATIN SMALL LETTER M WITH DOT BELOW,,
0x0144,ń,nacute,nacute,Euro,LATIN SMALL LETTER N WITH ACUTE,,
0x0148,ň,ncaron,ncaron,Euro,LATIN SMALL LETTER N WITH CARON,,
0x00F1,ñ,ntilde,ntilde,Euro,LATIN SMALL LETTER N WITH TILDE,,
0x0146,ņ,ncommaaccent,uni0146,Euro,LATIN SMALL LETTER N WITH CEDILLA,,
0x1E47,ṇ,ndotbelow,uni1E47,PNWIL,LATIN SMALL LETTER N WITH DOT BELOW,,
0x0149,ŉ,napostrophe,napostrophe,Euro,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,,
0x00F2,ò,ograve,ograve,PNWIL+Euro,LATIN SMALL LETTER O WITH GRAVE,,
0x00F3,ó,oacute,oacute,PNWIL+Euro,LATIN SMALL LETTER O WITH ACUTE,,
0x00F4,ô,ocircumflex,ocircumflex,PNWIL+Euro,LATIN SMALL LETTER O WITH CIRCUMFLEX,,
0x01D2,ǒ,ocaron,uni01D2,PNWIL,LATIN SMALL LETTER O WITH CARON,,
0x00F5,õ,otilde,otilde,Euro,LATIN SMALL LETTER O WITH TILDE,,
0x00F6,ö,odieresis,odieresis,Euro,LATIN SMALL LETTER O WITH DIAERESIS,,
0x014D,ō,omacron,omacron,PNWIL+Euro,LATIN SMALL LETTER O WITH MACRON,,
0x1E53,ṓ,omacronacute,uni1E53,PNWIL,LATIN SMALL LETTER O WITH MACRON AND ACUTE,,
0x014F,ŏ,obreve,obreve,Euro,LATIN SMALL LETTER O WITH BREVE,,
0x0151,ő,ohungarumlaut,ohungarumlaut,Euro,LATIN SMALL LETTER O WITH DOUBLE ACUTE,,
0x022F,ȯ,odotaccent,uni022F,NA+,LATIN SMALL LETTER O WITH DOT ABOVE,,e.g. Cheyenne voiceless (Wikipedia)
0x01EB,ǫ,oogonek,uni01EB,PNWIL+Euro,LATIN SMALL LETTER O WITH OGONEK,,
,,oogonek.alt,oogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
,,oogonek.alt2,oogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
0x01ED,ǭ,oogonekmacron,uni01ED,PNWIL,LATIN SMALL LETTER O WITH OGONEK AND MACRON,,
,,oogonekmacron.alt,uni01ED.alt,PNWIL,,locl,
,,oogonekmacron.alt2,uni01ED.alt2,PNWIL,,locl,
0x00F8,ø,oslash,oslash,Euro,LATIN SMALL LETTER O WITH STROKE,,
0x01FF,ǿ,oslashacute,oslashacute,Euro,LATIN SMALL LETTER O WITH STROKE AND ACUTE,,
0x0275,ɵ,obar,uni0275,PNWIL,LATIN SMALL LETTER BARRED O,,Lowercase compatibility for UC theta misencoding?
0x0153,œ,oe,oe,Euro,LATIN SMALL LIGATURE OE,,
0x0155,ŕ,racute,racute,Euro,LATIN SMALL LETTER R WITH ACUTE,,
0x0159,ř,rcaron,rcaron,Euro,LATIN SMALL LETTER R WITH CARON,,
0x0157,ŗ,rcommaaccent,uni0157,Euro,LATIN SMALL LETTER R WITH CEDILLA,,
0x015B,ś,sacute,sacute,Euro,LATIN SMALL LETTER S WITH ACUTE,,
0x015D,ŝ,scircumflex,scircumflex,PNWIL+Euro,LATIN SMALL LETTER S WITH CIRCUMFLEX,,
0x0161,š,scaron,scaron,PNWIL+Euro,LATIN SMALL LETTER S WITH CARON,,
0x015F,ş,scedilla,scedilla,Euro,LATIN SMALL LETTER S WITH CEDILLA,,
0x0219,ș,scommaaccent,uni0219,Euro,LATIN SMALL LETTER S WITH COMMA BELOW,,
0x1E63,ṣ,sdotbelow,uni1E63,PNWIL,LATIN SMALL LETTER S WITH DOT BELOW,,
0x00DF,ß,germandbls,germandbls,Euro,LATIN SMALL LETTER SHARP S,,
0x017F,ſ,longs,longs,Euro,LATIN SMALL LETTER LONG S,,
0x0165,ť,tcaron,tcaron,Euro,LATIN SMALL LETTER T WITH CARON,,
0x1E6B,ṫ,tdotaccent,uni1E6B,NA+,LATIN SMALL LETTER T WITH DOT ABOVE,,"TQ-INAT p.150 Iyâxe (Nakoda, Stoney, Assiniboine)"
0x0163,ţ,tcedilla,uni0163,Euro,LATIN SMALL LETTER T WITH CEDILLA,,
0x021B,ț,tcommaaccent,uni021B,Euro,LATIN SMALL LETTER T WITH COMMA BELOW,,
0x1E6F,ṯ,tmacronbelow,uni1E6F,PNWIL,LATIN SMALL LETTER T WITH LINE BELOW,,
,,tlinebelow,uni00740332,PNWIL,,ccmp,Contextual width component
0x0167,ŧ,tbar,tbar,Euro,LATIN SMALL LETTER T WITH STROKE,,
0x2C66,ⱦ,tslash,uni2C66,PNWIL,LATIN SMALL LETTER T WITH DIAGONAL STROKE,,Case mapping support
0x00F9,ù,ugrave,ugrave,PNWIL+Euro,LATIN SMALL LETTER U WITH GRAVE,,
0x00FA,ú,uacute,uacute,PNWIL+Euro,LATIN SMALL LETTER U WITH ACUTE,,
0x00FB,û,ucircumflex,ucircumflex,PNWIL+Euro,LATIN SMALL LETTER U WITH CIRCUMFLEX,,
0x01D4,ǔ,ucaron,uni01D4,PNWIL,LATIN SMALL LETTER U WITH CARON,,
0x0169,ũ,utilde,utilde,Euro,LATIN SMALL LETTER U WITH TILDE,,
0x00FC,ü,udieresis,udieresis,PNWIL+Euro,LATIN SMALL LETTER U WITH DIAERESIS,,
0x016B,ū,umacron,umacron,PNWIL+Euro,LATIN SMALL LETTER U WITH MACRON,,
0x016D,ŭ,ubreve,ubreve,Euro,LATIN SMALL LETTER U WITH BREVE,,
0x016F,ů,uring,uring,Euro,LATIN SMALL LETTER U WITH BREVE,,
0x0171,ű,uhungarumlaut,uhungarumlaut,Euro,LATIN SMALL LETTER U WITH DOUBLE ACUTE,,
0x0173,ų,uogonek,uogonek,PNWIL,LATIN SMALL LETTER U WITH OGONEK,,Default = ogonek centered below
,,uogonek.euro,uogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
,,uogonek.alt,uogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
,,uogonek.alt2,uogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
0x0289,ʉ,ubar,uni0289,NA+,LATIN SMALL LETTER U BAR,,TQ-INAT p.154 nʉmʉ tekwapʉ̱ (Comanche)
0x1E81,ẁ,wgrave,wgrave,Euro,LATIN SMALL LETTER W WITH GRAVE,,
0x1E83,ẃ,wacute,wacute,Euro,LATIN SMALL LETTER W WITH ACUTE,,
0x0175,ŵ,wcircumflex,wcircumflex,Euro,LATIN SMALL LETTER W WITH CIRCUMFLEX,,
0x1E85,ẅ,wdieresis,wdieresis,PNWIL+Euro,LATIN SMALL LETTER W WITH DIAERESIS,,
0x1EF3,ỳ,ygrave,ygrave,Euro,LATIN SMALL LETTER Y WITH GRAVE,,
0x00FD,ý,yacute,yacute,Euro,LATIN SMALL LETTER Y WITH ACUTE,,
0x0177,ŷ,ycircumflex,ycircumflex,Euro,LATIN SMALL LETTER Y WITH CIRCUMFLEX,,
0x00FF,ÿ,ydieresis,ydieresis,PNWIL+Euro,LATIN SMALL LETTER Y WITH DIAERESIS,,
0x017A,ź,zacute,zacute,Euro,LATIN SMALL LETTER Z WITH ACUTE,,
0x1E91,ẑ,zcircumflex,uni1E91,PNWIL,LATIN SMALL LETTER Z WITH CIRCUMFLEX,,
0x017E,ž,zcaron,zcaron,Euro,LATIN SMALL LETTER Z WITH CARON,,
0x017C,ż,zdotaccent,zdotaccent,Euro,LATIN SMALL LETTER Z WITH DOT ABOVE,,
0x1E95,ẕ,zmacronbelow,uni1E95,PNWIL,LATIN SMALL LETTER Z WITH LINE BELOW,,
,,zlinebelow,uni007A0332,PNWIL,,ccmp,Contextual width component
0x028C,ʌ,vturned,unj028C,NA+,LATIN SMALL LETTER TURNED V,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
0x0259,ə,schwa,uni0259,PNWIL,LATIN SMALL LETTER SCHWA,,
,,schwaogonek,uni02590328,NA+,,,"TQ-INAT p.124 Ska꞉rù꞉rę’ (Tuscarora, Skarù·rę’, Skarò˙rə̨ ˀ)"
