a,Unicode,Char,DevName,PostName,Set,UnicodeName,OTL,Comment
0,,,.notdef,.notdef,Common,,,
1,0x0000,,NULL,NULL,Common,<control>,,
2,0x000D,,CR,CR,Common,<control>,,
3,0x0020, ,space,space,Common,SPACE,,
4,0x00A0, ,nbspace,uni00A0,Common,NO-BREAK SPACE,,
5,0x0041,A,A,A,PNWIL+Euro,LATIN CAPITAL LETTER A,,
6,0x0042,B,B,B,PNWIL+Euro,LATIN CAPITAL LETTER B,,
7,0x0043,C,C,C,PNWIL+Euro,LATIN CAPITAL LETTER C,,
8,0x0044,D,D,D,PNWIL+Euro,LATIN CAPITAL LETTER D,,
9,0x0045,E,E,E,PNWIL+Euro,LATIN CAPITAL LETTER E,,
10,0x0046,F,F,F,PNWIL+Euro,LATIN CAPITAL LETTER F,,
11,0x0047,G,G,G,PNWIL+Euro,LATIN CAPITAL LETTER G,,
12,0x0048,H,H,H,PNWIL+Euro,LATIN CAPITAL LETTER H,,
13,0x0049,I,I,I,PNWIL+Euro,LATIN CAPITAL LETTER I,,
14,0x004A,J,J,J,PNWIL+Euro,LATIN CAPITAL LETTER J,,
15,0x004B,K,K,K,PNWIL+Euro,LATIN CAPITAL LETTER K,,
16,0x004C,L,L,L,PNWIL+Euro,LATIN CAPITAL LETTER L,,
17,0x004D,M,M,M,PNWIL+Euro,LATIN CAPITAL LETTER M,,
18,0x004E,N,N,N,PNWIL+Euro,LATIN CAPITAL LETTER N,,
19,0x004F,O,O,O,PNWIL+Euro,LATIN CAPITAL LETTER O,,
20,0x0050,P,P,P,PNWIL+Euro,LATIN CAPITAL LETTER P,,
21,0x0051,Q,Q,Q,PNWIL+Euro,LATIN CAPITAL LETTER Q,,
22,0x0052,R,R,R,PNWIL+Euro,LATIN CAPITAL LETTER R,,
23,0x0053,S,S,S,PNWIL+Euro,LATIN CAPITAL LETTER S,,
24,0x0054,T,T,T,PNWIL+Euro,LATIN CAPITAL LETTER T,,
25,0x0055,U,U,U,PNWIL+Euro,LATIN CAPITAL LETTER U,,
26,0x0056,V,V,V,PNWIL+Euro,LATIN CAPITAL LETTER V,,
27,0x0057,W,W,W,PNWIL+Euro,LATIN CAPITAL LETTER W,,
28,0x0058,X,X,X,PNWIL+Euro,LATIN CAPITAL LETTER X,,
29,0x0059,Y,Y,Y,PNWIL+Euro,LATIN CAPITAL LETTER Y,,
30,0x005A,Z,Z,Z,PNWIL+Euro,LATIN CAPITAL LETTER Z,,
31,0x00C0,À,Agrave,Agrave,PNWIL+Euro,LATIN CAPITAL LETTER A WITH GRAVE,,
32,0x00C1,Á,Aacute,Aacute,PNWIL+Euro,LATIN CAPITAL LETTER A WITH ACUTE,,
33,0x00C2,Â,Acircumflex,Acircumflex,PNWIL+Euro,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,,
34,0x01CD,Ǎ,Acaron,uni01CD,PNWIL,LATIN CAPITAL LETTER A WITH CARON,,
35,0x00C3,Ã,Atilde,Atilde,Euro,LATIN CAPITAL LETTER A WITH TILDE,,
36,0x00C4,Ä,Adieresis,Adieresis,PNWIL+Euro,LATIN CAPITAL LETTER A WITH DIAERESIS,,
37,0x0100,Ā,Amacron,Amacron,PNWIL+Euro,LATIN CAPITAL LETTER A WITH MACRON,,
38,0x0102,Ă,Abreve,Abreve,Euro,LATIN CAPITAL LETTER A WITH BREVE,,
39,0x00C5,Å,Aring,Aring,Euro,LATIN CAPITAL LETTER A WITH RING ABOVE,,
40,0x01FA,Ǻ,Aringacute,Aringacute,Euro,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE,,
41,0x0226,Ȧ,Adotaccent,uni0226,NA+,LATIN CAPITAL LETTER A WITH DOT ABOVE,,TQ-INAT p.103 Tsėhesenėstsestotse (Cheyenne)
42,0x0104,Ą,Aogonek,Aogonek,PNWIL,LATIN CAPITAL LETTER A WITH OGONEK,,Default = ogonek centered below (unattached)
43,,,Aogonek.euro,Aogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
44,,,Aogonek.alt,Aogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
45,,,Aogonek.alt2,Aogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
46,0x023A,Ⱥ,Aslash,uni023A,NA+,LATIN CAPITAL LETTER A WITH STROKE,,"TQ-INAT p.136 SENĆOŦEN (Straights Salish, Saanich)"
47,0x00C6,Æ,AE,AE,PNWIL+Euro,LATIN CAPITAL LETTER AE,,
48,0x01FC,Ǽ,AEacute,AEacute,Euro,LATIN CAPITAL LETTER AE WITH ACUTE,,
49,0x0106,Ć,Cacute,Cacute,Euro,LATIN CAPITAL LETTER C WITH ACUTE,,
50,0x0108,Ĉ,Ccircumflex,Ccircumflex,Euro,LATIN CAPITAL LETTER C WITH CIRCUMFLEX,,
51,0x010C,Č,Ccaron,Ccaron,PNWIL+Euro,LATIN CAPITAL LETTER C WITH CARON,,
52,0x010A,Ċ,Cdotaccent,Cdotaccent,Euro,LATIN CAPITAL LETTER C WITH DOT ABOVE,,
53,0x00C7,Ç,Ccedilla,Ccedilla,Euro,LATIN CAPITAL LETTER C WITH CEDILLA,,
54,0x023B,Ȼ,Cslash,uni023B,PNWIL,LATIN CAPITAL LETTER C WITH STROKE,,
55,0x010E,Ď,Dcaron,Dcaron,Euro,LATIN CAPITAL LETTER D WITH CARON,,
56,0x1E0E,Ḏ,Dmacronbelow,uni1E0E,PNWIL,LATIN CAPITAL LETTER D WITH LINE BELOW,,
57,,,Dlinebelow,uni00440332,PNWIL,,ccmp,Contextual width component
58,0x0110,Đ,Dcroat,Dcroat,Euro,LATIN CAPITAL LETTER D WITH STROKE,,
59,0x00C8,È,Egrave,Egrave,PNWIL+Euro,LATIN CAPITAL LETTER E WITH GRAVE,,
60,0x00C9,É,Eacute,Eacute,PNWIL+Euro,LATIN CAPITAL LETTER E WITH ACUTE,,
61,0x00CA,Ê,Ecircumflex,Ecircumflex,PNWIL+Euro,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,,
62,0x011A,Ě,Ecaron,Ecaron,PNWIL+Euro,LATIN CAPITAL LETTER E WITH CARON,,
63,0x00CB,Ë,Edieresis,Edieresis,PNWIL+Euro,LATIN CAPITAL LETTER E WITH DIAERESIS,,
64,0x0112,Ē,Emacron,Emacron,PNWIL+Euro,LATIN CAPITAL LETTER E WITH MACRON,,
65,0x1E14,Ḕ,Emacrongrave,uni1E14,NA+,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/7
66,0x1E16,Ḗ,Emacronacute,uni1E16,PNWIL,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE,,
67,0x0114,Ĕ,Ebreve,Ebreve,Euro,LATIN CAPITAL LETTER E WITH BREVE,,
68,0x0116,Ė,Edotaccent,Edotaccent,Euro,LATIN CAPITAL LETTER E WITH DOT ABOVE,,
69,0x0118,Ę,Eogonek,Eogonek,PNWIL,LATIN CAPITAL LETTER E WITH OGONEK,,Default = ogonek centered below
70,,,Eogonek.euro,Eogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
71,,,Eogonek.alt,Eogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
72,,,Eogonek.alt2,Eogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
73,0x011C,Ĝ,Gcircumflex,Gcircumflex,PNWIL+Euro,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,,
74,0x01E6,Ǧ,Gcaron,uni01E6,PNWIL,LATIN CAPITAL LETTER G WITH CARON,,
75,0x1E20,Ḡ,Gmacron,uni1E20,PNWIL,LATIN CAPITAL LETTER G WITH MACRON,,
76,0x011E,Ğ,Gbreve,Gbreve,Euro,LATIN CAPITAL LETTER G WITH BREVE,,
77,0x0120,Ġ,Gdotaccent,Gdotaccent,Euro,LATIN CAPITAL LETTER G WITH DOT ABOVE,,
78,0x0122,Ģ,Gcommaaccent,uni0122,Euro,LATIN CAPITAL LETTER G WITH CEDILLA,,
79,0x01E4,Ǥ,Gbar,uni01E4,PNWIL,LATIN CAPITAL LETTER G WITH STROKE,,
80,0x0124,Ĥ,Hcircumflex,Hcircumflex,Euro,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,,
81,0x021E,Ȟ,Hcaron,uni021E,NA+,LATIN CAPITAL LETTER H WITH CARON,,TQ-INAT p.148 Lakȟótiyapi (Lakota)
82,0x1E24,Ḥ,Hdotbelow,uni1E24,PNWIL,LATIN CAPITAL LETTER H WITH DOT BELOW,,
83,0x0126,Ħ,Hbar,Hbar,PNWIL+Euro,LATIN CAPITAL LETTER H WITH STROKE,,
84,0x00CC,Ì,Igrave,Igrave,PNWIL+Euro,LATIN CAPITAL LETTER I WITH GRAVE,,
85,0x00CD,Í,Iacute,Iacute,PNWIL+Euro,LATIN CAPITAL LETTER I WITH ACUTE,,
86,0x00CE,Î,Icircumflex,Icircumflex,PNWIL+Euro,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,,
87,0x01CF,Ǐ,Icaron,uni01CF,PNWIL,LATIN CAPITAL LETTER I WITH CARON,,
88,0x0128,Ĩ,Itilde,Itilde,Euro,LATIN CAPITAL LETTER I WITH TILDE,,
89,0x00CF,Ï,Idieresis,Idieresis,PNWIL+Euro,LATIN CAPITAL LETTER I WITH DIAERESIS,,
90,0x012A,Ī,Imacron,Imacron,PNWIL+Euro,LATIN CAPITAL LETTER I WITH MACRON,,
91,0x012C,Ĭ,Ibreve,Ibreve,Euro,LATIN CAPITAL LETTER I WITH BREVE,,
92,0x0130,İ,Idotaccent,Idotaccent,Euro,LATIN CAPITAL LETTER I WITH DOT ABOVE,,
93,0x012E,Į,Iogonek,Iogonek,PNWIL+Euro,LATIN CAPITAL LETTER I WITH OGONEK,,
94,,,Iogonek.alt,Iogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
95,,,Iogonek.alt2,Iogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
96,0x1ECA,Ị,Idotbelow,uni1ECA,PNWIL,LATIN CAPITAL LETTER I WITH DOT BELOW,,
97,0x0197,Ɨ,Ibar,uni0197,PNWIL,LATIN CAPITAL LETTER I WITH STROKE,,
98,0x0134,Ĵ,Jcircumflex,Jcircumflex,Euro,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,,
99,,,Jcaron,uni004A030C,PNWIL,,ccmp,
100,0x0248,Ɉ,Jbar,uni0248,NA+,LATIN CAPITAL LETTER J WITH STROKE,,TQ-INAT p.104 Inuinnaqtun
101,0x1E30,Ḱ,Kacute,uni1E30,PNWIL,LATIN CAPITAL LETTER K WITH ACUTE,,
102,0x0136,Ķ,Kcommaaccent,uni0136,Euro,LATIN CAPITAL LETTER K WITH CEDILLA,,
103,0x1E34,Ḵ,Kmacronbelow,uni1E34,PNWIL,LATIN CAPITAL LETTER K WITH LINE BELOW,,
104,,,Klinebelow,uni004B0332,PNWIL,,ccmp,Contextual width component
105,0x1E32,Ḳ,Kdotbelow,uni1E32,PNWIL,LATIN CAPITAL LETTER K WITH DOT BELOW,,
106,0x0139,Ĺ,Lacute,Lacute,Euro,LATIN CAPITAL LETTER L WITH ACUTE,,
107,0x013D,Ľ,Lcaron,Lcaron,Euro,LATIN CAPITAL LETTER L WITH CARON,,
108,0x013B,Ļ,Lcommaaccent,uni013B,Euro,LATIN CAPITAL LETTER L WITH CEDILLA,,
109,0x1E3A,Ḻ,Lmacronbelow,uni1E3A,NA+,LATIN CAPITAL LETTER L WITH LINE BELOW,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
110,,,Llinebelow,uni004C0332,NA+,,ccmp,Contextual width component
111,0x1E36,Ḷ,Ldotbelow,uni1E36,PNWIL,LATIN CAPITAL LETTER L WITH DOT BELOW,,
112,0x0141,Ł,Lslash,Lslash,PNWIL+Euro,LATIN CAPITAL LETTER L WITH STROKE,,
113,0x023D,Ƚ,Lbar,uni023D,PNWIL,LATIN CAPITAL LETTER L WITH BAR,,
114,0x2C60,Ⱡ,Ldblbar,uni2C60,NA+,LATIN CAPITAL LETTER L WITH DOUBLE BAR,,TQ-INAT p.126 Ktunaxa (Kutenai)
115,0x2C62,Ɫ,Lwavybar,uni2C62,PNWIL,LATIN CAPITAL LETTER L WITH MIDDLE TILDE,,
116,0xA7AD,Ɬ,Lbelt,uniA7AD,PNWIL,LATIN CAPITAL LETTER L WITH BELT,,
117,0x013F,Ŀ,Ldot,Ldot,Euro,LATIN CAPITAL LETTER L WITH MIDDLE DOT,,
118,0x1E3E,Ḿ,Macute,uni1E3E,NA+,LATIN CAPITAL LETTER M WITH ACUTE,,TQ-INAT p.106 Yupik
119,0x1E42,Ṃ,Mdotbelow,uni1E42,PNWIL,LATIN CAPITAL LETTER M WITH DOT BELOW,,
120,0x0143,Ń,Nacute,Nacute,Euro,LATIN CAPITAL LETTER N WITH ACUTE,,
121,0x0147,Ň,Ncaron,Ncaron,Euro,LATIN CAPITAL LETTER N WITH CARON,,
122,0x00D1,Ñ,Ntilde,Ntilde,Euro,LATIN CAPITAL LETTER N WITH TILDE,,
123,0x0145,Ņ,Ncommaaccent,uni0145,Euro,LATIN CAPITAL LETTER N WITH CEDILLA,,
124,0x1E48,Ṉ,Nmacronbelow,uni1E49,PNWIL,LATIN CAPITAL LETTER N WITH LINE BELOW,,
125,,N̲,Nlinebelow,uni004E0032,PNWIL,,ccmp,
126,0x1E46,Ṇ,Ndotbelow,uni1E46,PNWIL,LATIN CAPITAL LETTER N WITH DOT BELOW,,
127,0x00D2,Ò,Ograve,Ograve,PNWIL+Euro,LATIN CAPITAL LETTER O WITH GRAVE,,
128,0x00D3,Ó,Oacute,Oacute,PNWIL+Euro,LATIN CAPITAL LETTER O WITH ACUTE,,
129,0x00D4,Ô,Ocircumflex,Ocircumflex,PNWIL+Euro,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,,
130,0x01D1,Ǒ,Ocaron,uni01D1,PNWIL,LATIN CAPITAL LETTER O WITH CARON,,
131,0x00D5,Õ,Otilde,Otilde,Euro,LATIN CAPITAL LETTER O WITH TILDE,,
132,0x00D6,Ö,Odieresis,Odieresis,Euro,LATIN CAPITAL LETTER O WITH DIAERESIS,,
133,0x014C,Ō,Omacron,Omacron,PNWIL+Euro,LATIN CAPITAL LETTER O WITH MACRON,,
134,0x1E50,,Omacrongrave,uni1E50,NA+,LATIN CAPITAL LETTER O WITH MACRON AND GRAVE,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/7
135,0x1E52,Ṓ,Omacronacute,uni1E52,PNWIL,LATIN CAPITAL LETTER O WITH MACRON AND ACUTE,,
136,0x014E,Ŏ,Obreve,Obreve,Euro,LATIN CAPITAL LETTER O WITH BREVE,,
137,0x0150,Ő,Ohungarumlaut,Ohungarumlaut,Euro,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,,
138,0x022E,Ȯ,Odotaccent,uni022E,NA+,LATIN CAPITAL LETTER O WITH DOT ABOVE,,e.g. Cheyenne voiceless (Wikipedia)
139,0x01EA,Ǫ,Oogonek,uni01EA,PNWIL,LATIN CAPITAL LETTER O WITH OGONEK,,
140,,,Oogonek.alt,Oogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
141,,,Oogonek.alt2,Oogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
142,0x01EC,Ǭ,Oogonekmacron,uni01EC,PNWIL,LATIN CAPITAL LETTER O WITH OGONEK AND MACRON,,
143,,,Oogonekmacron.alt,uni01EC.alt,PNWIL,,locl(CHP) / ss02,
144,,,Oogonekmacron.alt2,uni01EC.alt2,PNWIL,,"locl(CAY,ONO,SEE) / ss03",
145,0x00D8,Ø,Oslash,Oslash,Euro,LATIN CAPITAL LETTER O WITH STROKE,,
146,0x01FE,Ǿ,Oslashacute,Oslashacute,Euro,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE,,
147,0x019F,Ɵ,Obar,uni019F,PNWIL,LATIN CAPITAL LETTER O WITH MIDDLE TILDE,,Misencoding of theta?
148,0x0152,Œ,OE,OE,Euro,LATIN CAPITAL LIGATURE OE,,
149,0x0154,Ŕ,Racute,Racute,Euro,LATIN CAPITAL LETTER R WITH ACUTE,,
150,0x0158,Ř,Rcaron,Rcaron,Euro,LATIN CAPITAL LETTER R WITH CARON,,
151,0x0156,Ŗ,Rcommaaccent,uni0156,Euro,LATIN CAPITAL LETTER R WITH CEDILLA,,
152,0x015A,Ś,Sacute,Sacute,Euro,LATIN CAPITAL LETTER S WITH ACUTE,,
153,0x015C,Ŝ,Scircumflex,Scircumflex,PNWIL+Euro,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,,
154,0x0160,Š,Scaron,Scaron,PNWIL+Euro,LATIN CAPITAL LETTER S WITH CARON,,
155,0x015E,Ş,Scedilla,Scedilla,Euro,LATIN CAPITAL LETTER S WITH CEDILLA,,
156,0x0218,Ș,Scommaaccent,uni0218,Euro,LATIN CAPITAL LETTER S WITH COMMA BELOW,,
157,,,Smacronbelow,uni00530331,PNWIL,,ccmp,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/20
158,,,Slinebelow,uni00530332,PNWIL,,ccmp,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/20
159,0x1E62,Ṣ,Sdotbelow,uni1E62,PNWIL,LATIN CAPITAL LETTER S WITH DOT BELOW,,
160,0x1E9E,ẞ,Germandbls,uni1E9E,Euro,LATIN CAPITAL LETTER SHARP S,,
161,0x0164,Ť,Tcaron,Tcaron,Euro,LATIN CAPITAL LETTER T WITH CARON,,
162,0x1E6A,Ṫ,Tdotaccent,uni1E6A,NA+,LATIN CAPITAL LETTER T WITH DOT ABOVE,,"TQ-INAT p.150 Iyâxe (Nakoda, Stoney, Assiniboine)"
163,0x0162,Ţ,Tcedilla,uni0162,Euro,LATIN CAPITAL LETTER T WITH CEDILLA,,
164,0x021A,Ț,Tcommaaccent,uni021A,Euro,LATIN CAPITAL LETTER T WITH COMMA BELOW,,
165,0x1E70,Ṱ,Tcircumflexbelow,uni1E70,NA+,LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/28
166,0x1E6E,Ṯ,Tmacronbelow,uni1E6E,PNWIL,LATIN CAPITAL LETTER T WITH LINE BELOW,,
167,,,Tlinebelow,uni00540332,PNWIL,,ccmp,Contextual width component
168,0x0166,Ŧ,Tbar,Tbar,Euro,LATIN CAPITAL LETTER T WITH STROKE,,
169,0x023E,Ⱦ,Tslash,uni023E,PNWIL,LATIN CAPITAL LETTER T WITH DIAGONAL STROKE,,
170,0x00D9,Ù,Ugrave,Ugrave,PNWIL+Euro,LATIN CAPITAL LETTER U WITH GRAVE,,
171,0x00DA,Ú,Uacute,Uacute,PNWIL+Euro,LATIN CAPITAL LETTER U WITH ACUTE,,
172,0x00DB,Û,Ucircumflex,Ucircumflex,PNWIL+Euro,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,,
173,0x01D3,Ǔ,Ucaron,uni01D3,PNWIL,LATIN CAPITAL LETTER U WITH CARON,,
174,0x0168,Ũ,Utilde,Utilde,Euro,LATIN CAPITAL LETTER U WITH TILDE,,
175,0x00DC,Ü,Udieresis,Udieresis,PNWIL+Euro,LATIN CAPITAL LETTER U WITH DIAERESIS,,
176,0x016A,Ū,Umacron,Umacron,PNWIL+Euro,LATIN CAPITAL LETTER U WITH MACRON,,
177,0x016C,Ŭ,Ubreve,Ubreve,Euro,LATIN CAPITAL LETTER U WITH BREVE,,
178,0x016E,Ů,Uring,Uring,Euro,LATIN CAPITAL LETTER U WITH RING ABOVE,,
179,0x0170,Ű,Uhungarumlaut,Uhungarumlaut,Euro,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,,
180,0x0172,Ų,Uogonek,Uogonek,PNWIL,LATIN CAPITAL LETTER U WITH OGONEK,,Default = ogonek centered below
181,,,Uogonek.euro,Uogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
182,,,Uogonek.alt,Uogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
183,,,Uogonek.alt2,Uogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
184,0x0244,Ʉ,Ubar,uni0244,NA+,LATIN CAPITAL LETTER U BAR,,TQ-INAT p.154 nʉmʉ tekwapʉ̱ (Comanche)
185,0x1E80,Ẁ,Wgrave,Wgrave,Euro,LATIN CAPITAL LETTER W WITH GRAVE,,
186,0x1E82,Ẃ,Wacute,Wacute,Euro,LATIN CAPITAL LETTER W WITH ACUTE,,
187,0x0174,Ŵ,Wcircumflex,Wcircumflex,PNWIL+Euro,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,,
188,0x1E84,Ẅ,Wdieresis,Wdieresis,Euro,LATIN CAPITAL LETTER W WITH DIAERESIS,,
189,0x1EF2,Ỳ,Ygrave,Ygrave,Euro,LATIN CAPITAL LETTER Y WITH GRAVE,,
190,0x00DD,Ý,Yacute,Yacute,Euro,LATIN CAPITAL LETTER Y WITH ACUTE,,
191,0x0176,Ŷ,Ycircumflex,Ycircumflex,Euro,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,,
192,0x0178,Ÿ,Ydieresis,Ydieresis,PNWIL+Euro,LATIN CAPITAL LETTER Y WITH DIAERESIS,,
193,0x0179,Ź,Zacute,Zacute,Euro,LATIN CAPITAL LETTER Z WITH ACUTE,,
194,0x1E90,Ẑ,Zcircumflex,uni1E90,PNWIL,LATIN CAPITAL LETTER Z WITH CIRCUMFLEX,,
195,0x017D,Ž,Zcaron,Zcaron,Euro,LATIN CAPITAL LETTER Z WITH CARON,,
196,0x017B,Ż,Zdotaccent,Zdotaccent,Euro,LATIN CAPITAL LETTER Z WITH DOT ABOVE,,
197,0x1E94,Ẕ,Zmacronbelow,uni1E94,PNWIL,LATIN CAPITAL LETTER Z WITH LINE BELOW,,
198,,,Zlinebelow,uni005A0332,PNWIL,,ccmp,Contextual width component
199,0x0245,Ʌ,Vturned,uni0245,NA+,LATIN CAPITAL LETTER TURNED V,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
200,0x039B,Λ,Lambda.Latin,Lambda.Latin,NA+,GREEK CAPITAL LETTER LAMBDA,,
201,0x018F,Ə,Schwa,uni018F,PNWIL,LATIN CAPITAL LETTER SCHWA,,
202,,,Schwaogonek,uni018F0328,NA+,,,"TQ-INAT p.124 Ska꞉rù꞉rę’ (Tuscarora, Skarù·rę’, Skarò˙rə̨ ˀ)"
203,,,Schwaogonek.alt,uni018F0328.alt,NA+,,locl(CHP) / ss02,
204,,,Schwaogonek.alt2,uni018F0328.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",
205,0x018E,Ǝ,Eturned,uni018E,NA+,LATIN CAPITAL LETTER REVERSED E,,"TQ-INAT p.109 Sahtúgot’įné Yat̨ı́ (North Slavey), Dene Zhatıé (South Slavey) (note: flipped, not turned)"
206,0x0190,Ɛ,Eopen,uni0190,PNWIL,LATIN CAPITAL LETTER OPEN E,,
207,0x0194,Ɣ,GammaLatin,uni0194,PNWIL,LATIN CAPITAL LETTER GAMMA,,
208,0x0393,Γ,Gamma.Latin,uni0393,NA+,GREEK CAPITAL LETTER GAMMA,,http://github.com/microsoft/Skeena-Indigenous-Typeface/issues/12
209,0xA7AE,Ɪ,Ibarred,uniA7AE,PNWIL,LATIN CAPITAL LETTER SMALL CAPITAL I,,Cummings: Quinault (inferred case mapping)
210,0x0196,Ɩ,IotaLatin,uni0196,PNWIL,LATIN CAPITAL LETTER IOTA,,
211,0xA7DA,Ꟛ,LambdaLatin,uniA7DA,PNWIL,LATIN CAPITAL LETTER LAMBDA,,
212,0xA7DC,Ƛ,Lambdabar,uniA7DC,PNWIL,LATIN CAPITAL LETTER LAMBDA WITH STROKE,,
213,,,Lambdabar.alt,uniA7DC.alt,PNWIL,,"locl(HEI,KWK,NUKI) / ss05",Variant with wavy bar.
214,,,Lambdabarcommaabove,uniA7DC0313,PNWIL,,ccmp,Precomposed diacritic
215,,,Lambdabarcommaabove.alt,uniA7DC0313.alt,PNWIL,,"locl(HEI,KWK,NUKI) / ss05",Variant with wavy bar.
216,0x019C,Ɯ,Mturned,uni019C,NA+,LATIN CAPITAL LETTER TURNED M,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/13
217,0x014A,Ŋ,Eng,Eng,PNWIL+Euro,LATIN CAPITAL LETTER ENG,,N-shape
218,0x0220,Ƞ,Nlongright,uni0220,NA+,LATIN CAPITAL LETTER N WITH LONG RIGHT LEG,,"TQ-INAT p.150 Iyâxe (Nakoda, Stoney, Assiniboine)"
219,0x0186,Ɔ,Oopen,uni0186,PNWIL,LATIN CAPITAL LETTER OPEN O,,
220,0x01B1,Ʊ,UpsilonLatin,uni01B1,PNWIL,LATIN CAPITAL LETTER UPSILON,,Note: form is upturned Omega
221,0x01B2,Ʋ,Vhook,uni01B2,PNWIL,LATIN CAPITAL LETTER V WITH HOOK,,
222,0x0398,Θ,Theta.Latin,Theta.Latin,PNWIL,GREEK CAPITAL LETTER THETA,,Latin form of Greek character
223,0x00D0,Ð,Eth,Eth,Euro,LATIN CAPITAL LETTER ETH,,
224,0x00DE,Þ,Thorn,Thorn,PNWIL+Euro,LATIN CAPITAL LETTER THORN,,
225,0xA7B3,Ꭓ,ChiLatin,uniA7B3,PNWIL,LATIN CAPITAL LETTER CHI,,
226,0x03A7,Χ,Chi.Latin,Chi.Latin,PNWIL,GREEK CAPITAL LETTER CHI,,Latin form of Greek character
227,0x0241,Ɂ,Glottalstop,uni0241,PNWIL,LATIN CAPITAL LETTER GLOTTAL STOP,,
228,0x0132,Ĳ,IJ,IJ,Euro,LATIN CAPITAL LIGATURE IJ,locl(NLD),
229,,,IJacute,uni01320301,Euro,,ccmp,
