a,Unicode,Char,DevName,PostName,Set,UnicodeName,OTL,Comment
230,0x0061,a,a,a,PNWIL+Euro,LATIN SMALL LETTER A,,
231,0x0062,b,b,b,PNWIL+Euro,LATIN SMALL LETTER B,,
232,0x0063,c,c,c,PNWIL+Euro,LATIN SMALL LETTER C,,
233,0x0064,d,d,d,PNWIL+Euro,LATIN SMALL LETTER D,,
234,0x0065,e,e,e,PNWIL+Euro,LATIN SMALL LETTER E,,
235,0x0066,f,f,f,PNWIL+Euro,LATIN SMALL LETTER F,,
236,0x0067,g,g,g,PNWIL+Euro,LATIN SMALL LETTER G,,
237,,,g.2,g.2,PNWIL+Euro,,ss01,Roman (upright) only
238,0x0068,h,h,h,PNWIL+Euro,LATIN SMALL LETTER H,,
239,0x0069,i,i,i,PNWIL+Euro,LATIN SMALL LETTER I,ccmp,Dotless pre above mark
240,,,i.dotless,i.dotless,PNWIL+Euro,,,
241,0x006A,j,j,j,PNWIL+Euro,LATIN SMALL LETTER J,,
242,,,j.dotless,j.dotless,PNWIL+Euro,,ccmp,Dotless pre above mark
243,0x006B,k,k,k,PNWIL+Euro,LATIN SMALL LETTER K,,
244,0x006C,l,l,l,PNWIL+Euro,LATIN SMALL LETTER L,,
245,0x006D,m,m,m,PNWIL+Euro,LATIN SMALL LETTER M,,
246,0x006E,n,n,n,PNWIL+Euro,LATIN SMALL LETTER N,,
247,0x006F,o,o,o,PNWIL+Euro,LATIN SMALL LETTER O,,
248,0x0070,p,p,p,PNWIL+Euro,LATIN SMALL LETTER P,,
249,0x0071,q,q,q,PNWIL+Euro,LATIN SMALL LETTER Q,,
250,0x0072,r,r,r,PNWIL+Euro,LATIN SMALL LETTER R,,
251,0x0073,s,s,s,PNWIL+Euro,LATIN SMALL LETTER S,,
252,0x0074,t,t,t,PNWIL+Euro,LATIN SMALL LETTER T,,
253,0x0075,u,u,u,PNWIL+Euro,LATIN SMALL LETTER U,,
254,0x0076,v,v,v,PNWIL+Euro,LATIN SMALL LETTER V,,
255,0x0077,w,w,w,PNWIL+Euro,LATIN SMALL LETTER W,,
256,0x0078,x,x,x,PNWIL+Euro,LATIN SMALL LETTER X,,
257,0x0079,y,y,y,PNWIL+Euro,LATIN SMALL LETTER Y,,
258,0x007A,z,z,z,PNWIL+Euro,LATIN SMALL LETTER Z,,
259,0x00E0,à,agrave,agrave,PNWIL+Euro,LATIN SMALL LETTER A WITH GRAVE,,
260,0x00E1,á,aacute,aacute,PNWIL+Euro,LATIN SMALL LETTER A WITH ACUTE,,
261,0x00E2,â,acircumflex,acircumflex,PNWIL+Euro,LATIN SMALL LETTER A WITH CIRCUMFLEX,,
262,0x01CE,ǎ,acaron,uni01CE,PNWIL,LATIN SMALL LETTER A WITH CARON,,
263,0x00E3,ã,atilde,atilde,Euro,LATIN SMALL LETTER A WITH TILDE,,
264,0x00E4,ä,adieresis,adieresis,PNWIL+Euro,LATIN SMALL LETTER A WITH DIAERESIS,,
265,0x0101,ā,amacron,amacron,PNWIL+Euro,LATIN SMALL LETTER A WITH MACRON,,
266,0x0103,ă,abreve,abreve,Euro,LATIN SMALL LETTER A WITH BREVE,,
267,0x00E5,å,aring,aring,Euro,LATIN SMALL LETTER A WITH RING ABOVE,,
268,0x01FB,ǻ,aringacute,aringacute,Euro,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE,,
269,0x0227,ȧ,adotaccent,uni0227,NA+,LATIN SMALL LETTER A WITH DOT ABOVE,,TQ-INAT p.103 Tsėhesenėstsestotse (Cheyenne)
270,,,acedilla,uni00610327,NA+,,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/25
271,0x0105,ą,aogonek,aogonek,PNWIL,LATIN SMALL LETTER A WITH OGONEK,,Default = ogonek centered below
272,,,aogonek.euro,aogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
273,,,aogonek.alt,aogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
274,,,aogonek.alt2,aogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
275,0x2C65,ⱥ,aslash,uni2C65,PNWIL,LATIN SMALL LETTER A WITH STROKE,,
276,,,aslash.2,uni2C65.2,PNWIL,,,Feature variation form for heavier weights.
277,0x00E6,æ,ae,ae,PNWIL+Euro,LATIN SMALL LETTER AE,,
278,0x01FD,ǽ,aeacute,aeacute,Euro,LATIN SMALL LETTER AE WITH ACUTE,,
279,0x0107,ć,cacute,cacute,Euro,LATIN SMALL LETTER C WITH ACUTE,,
280,0x0109,ĉ,ccircumflex,ccircumflex,Euro,LATIN SMALL LETTER C WITH CIRCUMFLEX,,
281,0x010D,č,ccaron,ccaron,PNWIL+Euro,LATIN SMALL LETTER C WITH CARON,,
282,0x010B,ċ,cdotaccent,cdotaccent,Euro,LATIN SMALL LETTER C WITH DOT ABOVE,,
283,0x00E7,ç,ccedilla,ccedilla,Euro,LATIN SMALL LETTER C WITH CEDILLA,,
284,0x023C,ȼ,cslash,uni023C,PNWIL,LATIN SMALL LETTER C WITH STROKE,,
285,0x010F,Ď,dcaron,dcaron,Euro,LATIN SMALL LETTER D WITH CARON,,
286,0x1E0F,ḏ,dmacronbelow,uni1E0F,PNWIL,LATIN SMALL LETTER D WITH LINE BELOW,,
287,,,dlinebelow,uni00640332,PNWIL,,ccmp,Contextual width component
288,0x0111,đ,dcroat,dcroat,Euro,LATIN SMALL LETTER D WITH STROKE,,
289,0x00E8,è,egrave,egrave,PNWIL+Euro,LATIN SMALL LETTER E WITH GRAVE,,
290,0x00E9,é,eacute,eacute,PNWIL+Euro,LATIN SMALL LETTER E WITH ACUTE,,
291,0x00EA,ê,ecircumflex,ecircumflex,PNWIL+Euro,LATIN SMALL LETTER E WITH CIRCUMFLEX,,
292,0x011B,ě,ecaron,ecaron,PNWIL+Euro,LATIN SMALL LETTER E WITH CARON,,
293,0x00EB,ë,edieresis,edieresis,PNWIL+Euro,LATIN SMALL LETTER E WITH DIAERESIS,,
294,0x0113,ē,emacron,emacron,PNWIL+Euro,LATIN SMALL LETTER E WITH MACRON,,
295,0x1E15,ḕ,emacrongrave,uni1E15,NA+,LATIN SMALL LETTER E WITH MACRON AND GRAVE,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/7
296,0x1E17,ḗ,emacronacute,uni1E17,PNWIL,LATIN SMALL LETTER E WITH MACRON AND ACUTE,,
297,0x0115,ĕ,ebreve,ebreve,Euro,LATIN SMALL LETTER E WITH BREVE,,
298,0x0117,ė,edotaccent,edotaccent,Euro,LATIN SMALL LETTER E WITH DOT ABOVE,,
299,0x0119,ę,eogonek,eogonek,PNWIL,LATIN SMALL LETTER E WITH OGONEK,,Default = ogonek centered below
300,,,eogonek.euro,eogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
301,,,eogonek.alt,eogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
302,,,eogonek.alt2,eogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
303,0x0192,ƒ,fhook,uni0192,Common,LATIN SMALL LETTER F WITH HOOK,,Florin compatibility codepoint
304,0x011D,ĝ,gcircumflex,gcircumflex,PNWIL+Euro,LATIN SMALL LETTER G WITH CIRCUMFLEX,,
305,,,gcircumflex.2,gcircumflex.2,PNWIL+Euro,,ss01,Roman (upright) only
306,0x01E7,ǧ,gcaron,uni01E7,PNWIL,LATIN SMALL LETTER G WITH CARON,,
307,,,gcaron.2,uni01E7.2,PNWIL,,ss01,Roman (upright) only
308,0x1E21,ḡ,gmacron,uni1E21,PNWIL,LATIN SMALL LETTER G WITH MACRON,,
309,,,gmacron.2,uni1E21.2,PNWIL,,ss01,Roman (upright) only
310,0x011F,ğ,gbreve,gbreve,Euro,LATIN SMALL LETTER G WITH BREVE,,
311,,,gbreve.2,gbreve.2,Euro,,ss01,Roman (upright) only
312,0x0121,ġ,gdotaccent,gdotaccent,Euro,LATIN SMALL LETTER G WITH DOT ABOVE,,
313,,,gdotaccent.2,gdotaccent.2,Euro,,ss01,Roman (upright) only
314,0x0123,ģ,gcommaaccent,uni0123,Euro,LATIN SMALL LETTER G WITH CEDILLA,,
315,,,gcommaaccent.2,uni0123.2,Euro,,ss01,Roman (upright) only
316,0x01E5,ǥ,gbar,uni01E5,PNWIL,LATIN SMALL LETTER G WITH STROKE,,Bar through lower counter
317,,,gbar.2,uni01E5.2,PNWIL,,ss01,Roman (upright) only
318,0x0261,ɡ,gscript,uni0261,PNWIL,LATIN SMALL LETTER SCRIPT G,,Coeur d’Alene only? Need to contrast with default form in italic?
319,0x0125,ĥ,hcircumflex,hcircumflex,Euro,LATIN SMALL LETTER H WITH CIRCUMFLEX,,
320,0x021F,ȟ,hcaron,uni021F,NA+,LATIN SMALL LETTER H WITH CARON,,TQ-INAT p.148 Lakȟótiyapi (Lakota)
321,0x1E96,ẖ,hmacronbelow,uni1E96,NA+,LATIN SMALL LETTER H WITH LINE BELOW,,TQ-INAT p.112 Menhti Kenaga (no precomposed cap)
322,,,hlinebelow,uni00680332,NA+,,ccmp,Contextual width component
323,0x1E25,ḥ,hdotbelow,uni1E25,PNWIL,LATIN SMALL LETTER H WITH DOT BELOW,,
324,0x0127,ħ,hbar,hbar,PNWIL+Euro,LATIN SMALL LETTER H WITH STROKE,,
325,0x0131,ı,dotlessi,uni0131,PNWIL+Euro,LATIN SMALL LETTER I WITH DOT ABOVE,,
326,,,dotlessiogonek,uni01310328,NA+,,ccmp,TQ-INAT p.110 Tłįchǫ Yatiì (Dogrib)
327,,,dotlessiogonek.alt,uni01310328.alt,NA+,,locl,
328,,,dotlessiogonek.alt2,uni01310328.alt2,NA+,,locl,
329,0x00EC,ì,igrave,igrave,PNWIL+Euro,LATIN SMALL LETTER I WITH GRAVE,,
330,0x00ED,í,iacute,iacute,PNWIL+Euro,LATIN SMALL LETTER I WITH ACUTE,,
331,0x00EE,î,icircumflex,icircumflex,PNWIL+Euro,LATIN SMALL LETTER I WITH CIRCUMFLEX,,
332,0x01D0,ǐ,icaron,uni01D0,PNWIL,LATIN SMALL LETTER I WITH CARON,,
333,0x0129,ĩ,itilde,itilde,Euro,LATIN SMALL LETTER I WITH TILDE,,
334,0x00EF,ï,idieresis,idieresis,PNWIL+Euro,LATIN SMALL LETTER I WITH DIAERESIS,,
335,0x012B,ī,imacron,imacron,PNWIL+Euro,LATIN SMALL LETTER I WITH MACRON,,
336,0x012D,ĭ,ibreve,ibreve,Euro,LATIN SMALL LETTER I WITH BREVE,,
337,0x012F,į,iogonek,iogonek,PNWIL+Euro,LATIN SMALL LETTER I WITH OGONEK,,
338,,,iogonek.dotless,iogonek.dotless,PNWIL+Euro,,ccmp,Dotless pre above mark
339,,,iogonek.alt,iogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
340,,,iogonek.dotless.alt,iogonek.dotless.alt,NA+,,ccmp,Dotless pre above mark
341,,,iogonek.alt2,iogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
342,,,iogonek.dotless.alt2,iogonek.dotless.alt2,NA+,,ccmp,Dotless pre above mark
343,0x1ECB,ị,idotbelow,uni1ECB,PNWIL,LATIN SMALL LETTER I WITH DOT BELOW,,
344,,,idotbelow.dotless,uni1ECB.dotless,PNWIL,,ccmp,Dotless pre above mark
345,0x0268,ɨ,ibar,uni0268,PNWIL,LATIN SMALL LETTER I WITH STROKE,,
346,,,ibar.dotless,uni0268.dotless,PNWIL,,ccmp,Dotless pre above mark
347,0x0237,ȷ,dotlessj,uni0237,PNWIL+Euro,LATIN SMALL LETTER DOTLESS J,,
348,0x0135,ĵ,jcircumflex,jcircumflex,Euro,LATIN SMALL LETTER J WITH CIRCUMFLEX,,
349,0x01F0,ǰ,jcaron,uni01F0,PNWIL,LATIN SMALL LETTER J WITH CARON,,
350,0x0249,ɉ,jbar,uni0249,NA+,LATIN SMALL LETTER J WITH STROKE,,TQ-INAT p.104 Inuinnaqtun
351,,,jbar.dotless,uni0249.dotless,NA+,,ccmp,Dotless pre above mark
352,0x1E31,ḱ,kacute,uni1E31,PNWIL,LATIN SMALL LETTER K WITH ACUTE,,Case mapping support
353,0x0137,ķ,kcommaaccent,uni0137,Euro,LATIN SMALL LETTER K WITH CEDILLA,,
354,0x1E35,ḵ,kmacronbelow,uni1E35,PNWIL,LATIN SMALL LETTER K WITH LINE BELOW,,
355,,,klinebelow,uni006B0332,PNWIL,,ccmp,Contextual width component
356,0x1E33,ḳ,kdotbelow,uni1E33,PNWIL,LATIN SMALL LETTER K WITH DOT BELOW,,
357,0x0138,ĸ,kgreenlandic,kgreenlandic,Euro,LATIN SMALL LETTER KRA,,
358,0x013A,ĺ,lacute,lacute,Euro,LATIN SMALL LETTER L WITH ACUTE,,
359,0x013E,ľ,lcaron,lcaron,Euro,LATIN SMALL LETTER L WITH CARON,,
360,0x013C,ļ,lcommaaccent,uni013C,Euro,LATIN SMALL LETTER L WITH CEDILLA,,
361,0x1E3B,ḻ,lmacronbelow,uni1E3B,NA+,LATIN SMALL LETTER L WITH LINE BELOW,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
362,,,llinebelow,uni006C0332,NA+,,ccmp,Contextual width component
363,0x1E37,ḷ,ldotbelow,uni1E37,PNWIL,LATIN SMALL LETTER L WITH DOT BELOW,,
364,0x0142,ł,lslash,lslash,PNWIL+Euro,LATIN SMALL LETTER L WITH STROKE,,
365,0x019A,ƚ,lbar,uni019A,PNWIL,LATIN CAPITAL LETTER L WITH BAR,,
366,0x2C61,ⱡ,ldblbar,uni2C61,NA+,LATIN CAPITAL LETTER L WITH DOUBLE BAR,,TQ-INAT p.126 Ktunaxa (Kutenai)
367,0x026B,ɫ,lwavybar,uni026B,PNWIL,LATIN SMALL LETTER L WITH MIDDLE TILDE,,
368,0x026C,ɬ,lbelt,uni026C,PNWIL,LATIN SMALL LETTER L WITH BELT,,
369,,,lbelt.alt,uni026C.alt,PNWIL,, ss06,Lushotseed  cursive variant  with looped l and bar (TQ-INAT p.138)
370,0x0140,ŀ,ldot,ldot,Euro,LATIN SMALL LETTER L WITH MIDDLE DOT,,
371,0x1E3F,ḿ,macute,uni1E3F,NA+,LATIN SMALL LETTER M WITH ACUTE,,TQ-INAT p.106 Yupik
372,0x1E43,ṃ,mdotbelow,uni1E43,PNWIL,LATIN SMALL LETTER M WITH DOT BELOW,,
373,0x0144,ń,nacute,nacute,Euro,LATIN SMALL LETTER N WITH ACUTE,,
374,0x0148,ň,ncaron,ncaron,Euro,LATIN SMALL LETTER N WITH CARON,,
375,0x00F1,ñ,ntilde,ntilde,Euro,LATIN SMALL LETTER N WITH TILDE,,
376,0x0146,ņ,ncommaaccent,uni0146,Euro,LATIN SMALL LETTER N WITH CEDILLA,,
377,0x1E49,ṉ,nmacronbelow,uni1E49,PNWIL,LATIN SMALL LETTER N WITH LINE BELOW,,
378,,n̲,nlinebelow,uni004E0032,PNWIL,,ccmp,
379,0x1E47,ṇ,ndotbelow,uni1E47,PNWIL,LATIN SMALL LETTER N WITH DOT BELOW,,
380,0x0149,ŉ,napostrophe,napostrophe,Euro,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,,
381,0x00F2,ò,ograve,ograve,PNWIL+Euro,LATIN SMALL LETTER O WITH GRAVE,,
382,0x00F3,ó,oacute,oacute,PNWIL+Euro,LATIN SMALL LETTER O WITH ACUTE,,
383,0x00F4,ô,ocircumflex,ocircumflex,PNWIL+Euro,LATIN SMALL LETTER O WITH CIRCUMFLEX,,
384,0x01D2,ǒ,ocaron,uni01D2,PNWIL,LATIN SMALL LETTER O WITH CARON,,
385,0x00F5,õ,otilde,otilde,Euro,LATIN SMALL LETTER O WITH TILDE,,
386,0x00F6,ö,odieresis,odieresis,Euro,LATIN SMALL LETTER O WITH DIAERESIS,,
387,0x014D,ō,omacron,omacron,PNWIL+Euro,LATIN SMALL LETTER O WITH MACRON,,
388,0x1E51,ṑ,omacongrave,uni1E51,NA+,LATIN SMALL LETTER O WITH MACRON AND GRAVE,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/7
389,0x1E53,ṓ,omacronacute,uni1E53,PNWIL,LATIN SMALL LETTER O WITH MACRON AND ACUTE,,
390,0x014F,ŏ,obreve,obreve,Euro,LATIN SMALL LETTER O WITH BREVE,,
391,0x0151,ő,ohungarumlaut,ohungarumlaut,Euro,LATIN SMALL LETTER O WITH DOUBLE ACUTE,,
392,0x022F,ȯ,odotaccent,uni022F,NA+,LATIN SMALL LETTER O WITH DOT ABOVE,,e.g. Cheyenne voiceless (Wikipedia)
393,0x01EB,ǫ,oogonek,uni01EB,PNWIL+Euro,LATIN SMALL LETTER O WITH OGONEK,,
394,,,oogonek.alt,oogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
395,,,oogonek.alt2,oogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
396,0x01ED,ǭ,oogonekmacron,uni01ED,PNWIL,LATIN SMALL LETTER O WITH OGONEK AND MACRON,,
397,,,oogonekmacron.alt,uni01ED.alt,PNWIL,,locl,
398,,,oogonekmacron.alt2,uni01ED.alt2,PNWIL,,locl,
399,0x00F8,ø,oslash,oslash,Euro,LATIN SMALL LETTER O WITH STROKE,,
400,0x01FF,ǿ,oslashacute,oslashacute,Euro,LATIN SMALL LETTER O WITH STROKE AND ACUTE,,
401,0x0275,ɵ,obar,uni0275,PNWIL,LATIN SMALL LETTER BARRED O,,Lowercase compatibility for UC theta misencoding?
402,0x0153,œ,oe,oe,Euro,LATIN SMALL LIGATURE OE,,
403,0x0155,ŕ,racute,racute,Euro,LATIN SMALL LETTER R WITH ACUTE,,
404,0x0159,ř,rcaron,rcaron,Euro,LATIN SMALL LETTER R WITH CARON,,
405,0x0157,ŗ,rcommaaccent,uni0157,Euro,LATIN SMALL LETTER R WITH CEDILLA,,
406,0x015B,ś,sacute,sacute,Euro,LATIN SMALL LETTER S WITH ACUTE,,
407,0x015D,ŝ,scircumflex,scircumflex,PNWIL+Euro,LATIN SMALL LETTER S WITH CIRCUMFLEX,,
408,0x0161,š,scaron,scaron,PNWIL+Euro,LATIN SMALL LETTER S WITH CARON,,
409,0x015F,ş,scedilla,scedilla,Euro,LATIN SMALL LETTER S WITH CEDILLA,,
410,0x0219,ș,scommaaccent,uni0219,Euro,LATIN SMALL LETTER S WITH COMMA BELOW,,
411,,,smacronbelow,uni00730331,PNWIL,,ccmp,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/20
412,,,slinebelow,uni00730332,PNWIL,,ccmp,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/20
413,0x1E63,ṣ,sdotbelow,uni1E63,PNWIL,LATIN SMALL LETTER S WITH DOT BELOW,,
414,0x00DF,ß,germandbls,germandbls,Euro,LATIN SMALL LETTER SHARP S,,
415,0x017F,ſ,longs,longs,Euro,LATIN SMALL LETTER LONG S,,
416,0x0165,ť,tcaron,tcaron,Euro,LATIN SMALL LETTER T WITH CARON,,
417,0x1E6B,ṫ,tdotaccent,uni1E6B,NA+,LATIN SMALL LETTER T WITH DOT ABOVE,,"TQ-INAT p.150 Iyâxe (Nakoda, Stoney, Assiniboine)"
418,0x0163,ţ,tcedilla,uni0163,Euro,LATIN SMALL LETTER T WITH CEDILLA,,
419,0x021B,ț,tcommaaccent,uni021B,Euro,LATIN SMALL LETTER T WITH COMMA BELOW,,
420,0x1E71,ṱ,tcircumflexbelow,uni1E71,NA+,LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW,,https://github.com/microsoft/Skeena-Indigenous-Typeface/issues/28
421,0x1E6F,ṯ,tmacronbelow,uni1E6F,PNWIL,LATIN SMALL LETTER T WITH LINE BELOW,,
422,,,tlinebelow,uni00740332,PNWIL,,ccmp,Contextual width component
423,0x0167,ŧ,tbar,tbar,Euro,LATIN SMALL LETTER T WITH STROKE,,
424,0x2C66,ⱦ,tslash,uni2C66,PNWIL,LATIN SMALL LETTER T WITH DIAGONAL STROKE,,Case mapping support
425,0x00F9,ù,ugrave,ugrave,PNWIL+Euro,LATIN SMALL LETTER U WITH GRAVE,,
426,0x00FA,ú,uacute,uacute,PNWIL+Euro,LATIN SMALL LETTER U WITH ACUTE,,
427,0x00FB,û,ucircumflex,ucircumflex,PNWIL+Euro,LATIN SMALL LETTER U WITH CIRCUMFLEX,,
428,0x01D4,ǔ,ucaron,uni01D4,PNWIL,LATIN SMALL LETTER U WITH CARON,,
429,0x0169,ũ,utilde,utilde,Euro,LATIN SMALL LETTER U WITH TILDE,,
430,0x00FC,ü,udieresis,udieresis,PNWIL+Euro,LATIN SMALL LETTER U WITH DIAERESIS,,
431,0x016B,ū,umacron,umacron,PNWIL+Euro,LATIN SMALL LETTER U WITH MACRON,,
432,0x016D,ŭ,ubreve,ubreve,Euro,LATIN SMALL LETTER U WITH BREVE,,
433,0x016F,ů,uring,uring,Euro,LATIN SMALL LETTER U WITH BREVE,,
434,0x0171,ű,uhungarumlaut,uhungarumlaut,Euro,LATIN SMALL LETTER U WITH DOUBLE ACUTE,,
435,0x0173,ų,uogonek,uogonek,PNWIL,LATIN SMALL LETTER U WITH OGONEK,,Default = ogonek centered below
436,,,uogonek.euro,uogonek.euro,Euro,,"locl(CSB,LTH,PLK) / ss04",European form
437,,,uogonek.alt,uogonek.alt,NA+,,locl(CHP) / ss02,"TQ-INAT p.108 Dënësųłinë́ (Chipewyan), Saı́yısı́ dëne (Sayisi Dene) (flipped cedilla form; centered)"
438,,,uogonek.alt2,uogonek.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",TQ-INAT p.120 Gayogo̱ hó꞉nǫˀ (Cayuga) (angle form; centered)
439,0x0289,ʉ,ubar,uni0289,NA+,LATIN SMALL LETTER U BAR,,TQ-INAT p.154 nʉmʉ tekwapʉ̱ (Comanche)
440,0x1E81,ẁ,wgrave,wgrave,Euro,LATIN SMALL LETTER W WITH GRAVE,,
441,0x1E83,ẃ,wacute,wacute,Euro,LATIN SMALL LETTER W WITH ACUTE,,
442,0x0175,ŵ,wcircumflex,wcircumflex,Euro,LATIN SMALL LETTER W WITH CIRCUMFLEX,,
443,0x1E85,ẅ,wdieresis,wdieresis,PNWIL+Euro,LATIN SMALL LETTER W WITH DIAERESIS,,
444,0x1EF3,ỳ,ygrave,ygrave,Euro,LATIN SMALL LETTER Y WITH GRAVE,,
445,0x00FD,ý,yacute,yacute,Euro,LATIN SMALL LETTER Y WITH ACUTE,,
446,0x0177,ŷ,ycircumflex,ycircumflex,Euro,LATIN SMALL LETTER Y WITH CIRCUMFLEX,,
447,0x00FF,ÿ,ydieresis,ydieresis,PNWIL+Euro,LATIN SMALL LETTER Y WITH DIAERESIS,,
448,0x017A,ź,zacute,zacute,Euro,LATIN SMALL LETTER Z WITH ACUTE,,
449,0x1E91,ẑ,zcircumflex,uni1E91,PNWIL,LATIN SMALL LETTER Z WITH CIRCUMFLEX,,
450,0x017E,ž,zcaron,zcaron,Euro,LATIN SMALL LETTER Z WITH CARON,,
451,0x017C,ż,zdotaccent,zdotaccent,Euro,LATIN SMALL LETTER Z WITH DOT ABOVE,,
452,0x1E95,ẕ,zmacronbelow,uni1E95,PNWIL,LATIN SMALL LETTER Z WITH LINE BELOW,,
453,,,zlinebelow,uni007A0332,PNWIL,,ccmp,Contextual width component
454,0x028C,ʌ,vturned,unj028C,NA+,LATIN SMALL LETTER TURNED V,,TQ-INAT p.122 Oneida (Onʌyotaʔa:ka)
455,0x0259,ə,schwa,uni0259,PNWIL,LATIN SMALL LETTER SCHWA,,
456,,,schwaogonek,uni02590328,NA+,,,"TQ-INAT p.124 Ska꞉rù꞉rę’ (Tuscarora, Skarù·rę’, Skarò˙rə̨ ˀ)"
457,,,schwaogonek.alt,uni02590328.alt,NA+,,locl(CHP) / ss02,
458,,,schwaogonek.alt2,uni02590328.alt2,NA+,,"locl(CAY,ONO,SEE) / ss03",
459,0x01DD,ǝ,eturned,uni01DD,NA+,LATIN SMALL LETTER TURNED E,,"TQ-INAT p.109 Sahtúgot’įné Yat̨ı́ (North Slavey), Dene Zhatıé (South Slavey) (note: flipped, not turned)"
460,0x025B,ɛ,eopen,uni025B,PNWIL,LATIN SMALL LETTER OPEN E,,
461,0x0262,ɢ,gsmallcap,uni0262,PNWIL,LATIN LETTER SMALL CAPITAL G,,
462,0x0263,ɣ,gammaLatin,uni0263,PNWIL,LATIN SMALL LETTER GAMMA,,
